function name,learning rate,momentum,lmabda,Uses grad(),mini batch size,epochs,iterations,mse
sgdm_rms_ridge,0.01,N/A,0.05,True,10,51,8,0.010026049470851178
sgdm_rms_ridge,0.01,N/A,0.1,True,10,51,8,0.011839706151383182
sgdm_rms_ridge,0.01,N/A,0.5,True,10,12,3,0.02412460602063411
sgdm_rms_ols,0.1,N/A,N/A,True,10,51,8,0.0031050759397538348
sgdm_rms_ridge,0.1,N/A,0.01,True,10,4,3,0.007421102921553743
sgdm_rms_ridge,0.1,N/A,0.05,True,10,51,8,0.015407047006192207
sgdm_rms_ridge,0.1,N/A,0.1,True,10,51,8,0.011060152735625056
sgdm_rms_ridge,0.1,N/A,0.5,True,10,51,8,0.023467856744917817
sgdm_rms_ols,0.2,N/A,N/A,True,10,51,8,0.007961532549708683
sgdm_rms_ridge,0.2,N/A,0.01,True,10,51,8,0.010812888399368822
sgdm_rms_ridge,0.2,N/A,0.05,True,10,51,8,0.008342892670905573
sgdm_rms_ridge,0.2,N/A,0.1,True,10,51,8,0.015229690217342405
sgdm_rms_ridge,0.2,N/A,0.5,True,10,51,8,0.018079022086843248
sgdm_rms_ols,0.5,N/A,N/A,True,10,51,8,0.014421553095933926
sgdm_rms_ridge,0.5,N/A,0.01,True,10,51,8,0.011159421527379164
sgdm_rms_ridge,0.5,N/A,0.05,True,10,51,8,0.004523982770028471
sgdm_rms_ridge,0.5,N/A,0.1,True,10,51,8,0.018743406602089563
sgdm_rms_ridge,0.5,N/A,0.5,True,10,51,8,0.03316642385173065
sgdm_rms_ols,0.01,N/A,N/A,True,15,51,5,0.010693079002980345
sgdm_rms_ridge,0.01,N/A,0.01,True,15,51,5,0.010177142234000632
sgdm_rms_ridge,0.01,N/A,0.05,True,15,51,5,0.008817839499832643
sgdm_rms_ridge,0.01,N/A,0.1,True,15,51,5,0.01057057006797469
sgdm_rms_ridge,0.01,N/A,0.5,True,15,51,5,0.030786128344138793
sgdm_rms_ols,0.1,N/A,N/A,True,15,51,5,0.006169657901587711
sgdm_rms_ridge,0.1,N/A,0.01,True,15,51,5,0.00839642823793041
sgdm_rms_ridge,0.1,N/A,0.05,True,15,51,5,0.012284328715037138
sgdm_rms_ridge,0.1,N/A,0.1,True,15,51,5,0.015623143347878638
sgdm_rms_ridge,0.1,N/A,0.5,True,15,51,5,0.02866576063634923
sgdm_rms_ols,0.2,N/A,N/A,True,15,8,N/A,0.009577645081648462
sgdm_rms_ridge,0.2,N/A,0.01,True,15,51,5,0.009042682583219198
sgdm_rms_ridge,0.2,N/A,0.05,True,15,48,2,0.007827454963585454
sgdm_rms_ridge,0.2,N/A,0.1,True,15,51,5,0.011073064970572446
sgdm_rms_ridge,0.2,N/A,0.5,True,15,51,5,0.030731247810758158
sgdm_rms_ols,0.5,N/A,N/A,True,15,51,5,0.059354874671562835
sgdm_rms_ridge,0.5,N/A,0.01,True,15,51,5,0.00940344647141273
sgdm_rms_ridge,0.5,N/A,0.05,True,15,51,5,0.010057427716507342
sgdm_rms_ridge,0.5,N/A,0.1,True,15,51,5,0.027511637498660466
sgdm_rms_ridge,0.5,N/A,0.5,True,15,51,5,0.028528261755540747
sgdm_rms_ols,0.01,N/A,N/A,True,15,51,5,0.009623123064334162
sgdm_rms_ridge,0.01,N/A,0.01,True,15,51,5,0.00885412277590719
sgdm_rms_ridge,0.01,N/A,0.05,True,15,51,5,0.011319185091345038
sgdm_rms_ridge,0.01,N/A,0.1,True,15,51,5,0.012837407893451338
sgdm_rms_ridge,0.01,N/A,0.5,True,15,51,5,0.02894283028219635
sgdm_rms_ols,0.1,N/A,N/A,True,15,6,4,0.007860153759597843
sgdm_rms_ridge,0.1,N/A,0.01,True,15,51,5,0.006162713786679894
sgdm_rms_ridge,0.1,N/A,0.05,True,15,51,5,0.01019579490021344
sgdm_rms_ridge,0.1,N/A,0.1,True,15,51,5,0.014492429740955645
sgdm_rms_ridge,0.1,N/A,0.5,True,15,51,5,0.027183936073507955
sgdm_rms_ols,0.2,N/A,N/A,True,15,51,5,0.018780780124841197
sgdm_rms_ridge,0.2,N/A,0.01,True,15,51,5,0.005835761774799356
sgdm_rms_ridge,0.2,N/A,0.05,True,15,51,5,0.023071388694763297
sgdm_rms_ridge,0.2,N/A,0.1,True,15,51,5,0.01414395138418939
sgdm_rms_ridge,0.2,N/A,0.5,True,15,38,3,0.030960614918575047
sgdm_rms_ols,0.5,N/A,N/A,True,15,51,5,0.03316357822897492
sgdm_rms_ridge,0.5,N/A,0.01,True,15,51,5,0.019203538013436657
sgdm_rms_ridge,0.5,N/A,0.05,True,15,51,5,0.014049002239061232
sgdm_rms_ridge,0.5,N/A,0.1,True,15,51,5,0.017609212674588468
sgdm_rms_ridge,0.5,N/A,0.5,True,15,51,5,0.03929935449280956
sgdm_rms_ols,0.01,N/A,N/A,True,15,51,5,0.006336393398923797
